"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.183831040E-1,-2.409164429E0,3.597259521E-1,1.099896240E1,1.126546270E1
1.233574700E-1,-2.598907471E0,2.053070068E-1,9.226654053E0,9.587889028E0
1.283623520E-1,-2.370864868E0,7.050933838E-1,1.070925903E1,1.099119584E1
1.333672350E-1,-2.715026855E0,1.304779053E-1,1.049378967E1,1.084011149E1
1.383721180E-1,-2.672531128E0,2.789306641E-1,9.148239136E0,9.534700007E0
1.433770010E-1,-2.667739868E0,4.303588867E-1,1.106300354E1,1.138824359E1
1.483513660E-1,-3.010116577E0,-1.328735352E-1,9.481033325E0,9.948288802E0
1.533562490E-1,-2.840118408E0,3.190307617E-1,9.557052612E0,9.975234726E0
1.583611320E-1,-2.858078003E0,2.765350342E-1,1.075056458E1,1.112743098E1
1.633354970E-1,-2.956832886E0,1.322784424E-1,8.854949951E0,9.336514175E0
1.683403800E-1,-2.672531128E0,6.673889160E-1,1.030763245E1,1.066935412E1
1.733452630E-1,-2.878433228E0,2.316436768E-1,1.026034546E1,1.065897395E1
1.783501450E-1,-2.794036865E0,4.070129395E-1,8.918395996E0,9.354682714E0
1.833550280E-1,-2.671325684E0,6.422424316E-1,1.077749634E1,1.112217980E1
1.882683580E-1,-3.022079468E0,1.454467773E-1,9.294296265E0,9.774357377E0
1.932427240E-1,-2.703048706E0,5.015869141E-1,9.686935425E0,1.006949749E1
1.982170890E-1,-2.665939331E0,4.417266846E-1,1.036868286E1,1.071503333E1
2.032219720E-1,-2.822769165E0,2.460021973E-1,8.804672241E0,9.249367336E0
2.082268540E-1,-2.504333496E0,6.039428711E-1,1.025794983E1,1.057648183E1
2.132317370E-1,-2.913742065E0,4.004364014E-1,9.887451172E0,1.031561597E1
2.182366200E-1,-2.821563721E0,3.956451416E-1,9.182968140E0,9.614814650E0
2.232415030E-1,-2.959228516E0,6.290740967E-1,1.068891907E1,1.110881445E1
2.282463860E-1,-3.347686768E0,1.514282227E-1,9.377487183E0,9.958273096E0
2.332512680E-1,-3.188476562E0,2.980804443E-1,9.385864258E0,9.917140848E0
2.382561510E-1,-3.286041260E0,3.944396973E-1,1.016458130E1,1.068982520E1
2.432610340E-1,-3.318969727E0,9.037780762E-2,8.588592529E0,9.208020951E0
2.482659170E-1,-3.073562622E0,5.093688965E-1,9.944320679E0,1.042092883E1
2.532708000E-1,-3.287231445E0,3.956451416E-1,9.788101196E0,1.033292556E1
2.582756830E-1,-3.086730957E0,3.357849121E-1,8.906433105E0,9.432137095E0
2.632805650E-1,-2.890396118E0,7.996673584E-1,1.060691833E1,1.102272989E1
2.682854480E-1,-3.147171021E0,3.884582520E-1,9.354141235E0,9.877020983E0
2.732903310E-1,-2.825759888E0,4.949951172E-1,9.424179077E0,9.851146653E0
2.782952140E-1,-2.958038330E0,6.649932861E-1,1.051113892E1,1.093966399E1
2.833000970E-1,-3.100494385E0,2.064971924E-1,8.787322998E0,9.320555348E0
2.883049790E-1,-2.980773926E0,6.075286865E-1,9.770736694E0,1.023334744E1
2.933098620E-1,-3.272872925E0,4.333496094E-1,9.822814941E0,1.036277870E1
2.982842270E-1,-3.308181763E0,3.136444092E-1,8.345581055E0,8.982825977E0
3.032891100E-1,-3.241149902E0,8.200073242E-1,1.010533142E1,1.064402122E1
3.082634750E-1,-3.511093140E0,4.524993896E-1,9.052474976E0,9.720073761E0
3.132683580E-1,-3.334518433E0,5.877838135E-1,8.622116089E0,9.263119822E0
3.182732410E-1,-3.381210327E0,7.918853760E-1,1.033876038E1,1.090640325E1
3.232476060E-1,-3.410537720E0,4.345550537E-1,8.515579224E0,9.183446801E0
3.282524890E-1,-3.203445435E0,7.966766357E-1,9.594161987E0,1.014616679E1
3.332573720E-1,-3.377624512E0,7.110748291E-1,1.013525391E1,1.070688314E1
3.382622550E-1,-3.403961182E0,4.680633545E-1,8.477874756E0,9.147698913E0
3.432671380E-1,-3.278854370E0,8.409576416E-1,1.024299622E1,1.078782032E1
3.482415030E-1,-3.584121704E0,5.111694336E-1,9.274536133E0,9.956115862E0
3.532463860E-1,-3.396179199E0,5.315093994E-1,8.683776855E0,9.339406612E0
3.582512680E-1,-3.407546997E0,7.559661865E-1,1.032260132E1,1.089674077E1
3.632256340E-1,-3.456634521E0,3.962402344E-1,8.652053833E0,9.325414954E0
3.682305160E-1,-3.276458740E0,7.224578857E-1,9.467269897E0,1.004421857E1
3.732353990E-1,-3.485351562E0,7.032928467E-1,1.028010559E1,1.087763151E1
3.782402820E-1,-3.570953369E0,4.279632568E-1,8.699325562E0,9.413454506E0
3.832451650E-1,-3.362655640E0,8.529357910E-1,1.031541443E1,1.088313959E1
3.881584950E-1,-3.686477661E0,5.494689941E-1,9.841964722E0,1.052408206E1
3.931328600E-1,-3.565567017E0,5.865783691E-1,8.869918823E0,9.577724274E0
3.981072250E-1,-3.620635986E0,8.912353516E-1,1.046026611E1,1.110497513E1
4.031121080E-1,-3.654144287E0,5.530548096E-1,8.763381958E0,9.510809820E0
4.081169910E-1,-3.402160645E0,8.463439941E-1,9.097366333E0,9.749516368E0
4.131218740E-1,-3.644577026E0,9.331359863E-1,9.973052979E0,1.065905578E1
